filepath,theta,phi,turbidity,exposure,elevation,fov
D://360 google/dashcam_illumination/train/4w6eqYYwX0C6XNMJshmJDw_B.png,171.22745100279477,55.038187835049975,3.500000,0.032804,9.34,63.72
D://360 google/dashcam_illumination/train/4wL0hasUqwhbHswKxbUSig_F.png,-174.69307657009273,35.623646128947875,2.500000,0.042719,-4.07,95.73
D://360 google/dashcam_illumination/train/4wL0hasUqwhbHswKxbUSig_B.png,5.306923429907278,36.04364612894787,2.500000,0.042719,-3.65,83.27
D://360 google/dashcam_illumination/train/4XlnuzRQOwmyFP4X4ni--A_F.png,-22.29705314051186,47.386905350310826,4.000000,0.025674,5.65,80.3
D://360 google/dashcam_illumination/train/4XlnuzRQOwmyFP4X4ni--A_B.png,157.70294685948815,46.66690535031084,4.000000,0.025674,4.93,60.43
D://360 google/dashcam_illumination/train/4XMFjJ6MSoulqw2XUmED9g_F.png,-104.34591217325088,63.84530721624229,4.500000,0.029327,-1.54,66.6
D://360 google/dashcam_illumination/train/4XMFjJ6MSoulqw2XUmED9g_B.png,75.65408782674912,68.33530721624228,4.500000,0.029327,2.95,89.23
D://360 google/dashcam_illumination/train/4xrmSBcrUvQmLKWIhdjtMQ_F.png,16.3710789875133,54.00016608598632,4.000000,0.030769,-2.73,81.06
D://360 google/dashcam_illumination/train/4xrmSBcrUvQmLKWIhdjtMQ_B.png,-163.62892101248673,51.71016608598634,4.000000,0.030769,-5.02,69.72
D://360 google/dashcam_illumination/train/4xX3Z_gk18GdVLMUH8sH5w_F.png,-110.79563428853902,75.08935428234759,4.500000,0.033796,7.32,78.62
D://360 google/dashcam_illumination/train/4xX3Z_gk18GdVLMUH8sH5w_B.png,69.20436571146098,61.50935428234754,4.500000,0.033796,-6.26,84.53
D://360 google/dashcam_illumination/train/4yDpHy6EJ4p2_xr740HcPQ_F.png,-155.91482260652387,56.827116455713764,4.000000,0.035748,4.95,95.15
D://360 google/dashcam_illumination/train/4yDpHy6EJ4p2_xr740HcPQ_B.png,24.08517739347614,56.59711645571377,4.000000,0.035748,4.72,93.31
D://360 google/dashcam_illumination/train/4Yo2CW71BCv2bWzfePhkUg_F.png,-118.13882849460896,59.83376764652049,4.000000,0.037086,0.79,90.38
D://360 google/dashcam_illumination/train/4Yo2CW71BCv2bWzfePhkUg_B.png,61.86117150539105,59.463767646520495,4.000000,0.037086,0.42,77.43
D://360 google/dashcam_illumination/train/4ze57ip7FN3vfYK8qgCbfw_F.png,-177.04779671865828,59.349987854755824,3.000000,0.062651,2.64,87.0
D://360 google/dashcam_illumination/train/4ze57ip7FN3vfYK8qgCbfw_B.png,2.952203281341718,57.00998785475582,3.000000,0.062651,0.3,80.34
D://360 google/dashcam_illumination/train/4zsoERNJp5kPlMkoT5EwxA_F.png,30.005480632629578,56.3315125685459,4.500000,0.029856,-2.55,77.29
D://360 google/dashcam_illumination/train/4zsoERNJp5kPlMkoT5EwxA_B.png,-149.99451936737043,65.71151256854591,4.500000,0.029856,6.83,87.15
D://360 google/dashcam_illumination/train/4ZxyDr0fo4rXhFLdmTM46A_F.png,-167.293113090221,61.46787662663797,4.500000,0.025535,0.15,80.62
D://360 google/dashcam_illumination/train/4ZxyDr0fo4rXhFLdmTM46A_B.png,12.706886909779017,51.86787662663797,4.500000,0.025535,-9.45,68.88
D://360 google/dashcam_illumination/train/4_2MlN6LRlwsW2MX4S_-Dg_F.png,15.80709976155369,53.88714319964027,3.500000,0.041295,1.36,92.47
D://360 google/dashcam_illumination/train/4_2MlN6LRlwsW2MX4S_-Dg_B.png,-164.19290023844633,48.35714319964026,3.500000,0.041295,-4.17,69.89
D://360 google/dashcam_illumination/train/5-laMizvO0jVfSUTZST__g_F.png,81.74460922121426,47.02079532335178,4.000000,0.032799,-8.61,92.43
D://360 google/dashcam_illumination/train/5-laMizvO0jVfSUTZST__g_B.png,-98.25539077878575,65.18079532335179,4.000000,0.032799,9.55,66.01
D://360 google/dashcam_illumination/train/5-W10McoZt1VBWV6D0i61Q_F.png,-44.546082635881824,58.17747024852892,3.500000,0.049024,-4.19,69.54
D://360 google/dashcam_illumination/train/5-W10McoZt1VBWV6D0i61Q_B.png,135.45391736411818,59.93747024852892,3.500000,0.049024,-2.43,65.26
D://360 google/dashcam_illumination/train/508MtD_a0LSlswwALP8_rA_F.png,-157.42674417865626,56.25551013830111,4.000000,0.039692,-4.98,95.85
D://360 google/dashcam_illumination/train/508MtD_a0LSlswwALP8_rA_B.png,22.57325582134377,63.12551013830113,4.000000,0.039692,1.89,93.3
D://360 google/dashcam_illumination/train/51gjEwMVtkfcJIFPbWfFnA_F.png,173.17930323455755,64.5957165007814,4.000000,0.041423,0.73,70.54
D://360 google/dashcam_illumination/train/51gjEwMVtkfcJIFPbWfFnA_B.png,-6.8206967654424675,56.965716500781426,4.000000,0.041423,-6.9,99.18
D://360 google/dashcam_illumination/train/51NVRw3tqk9jtRvX3gKw_Q_F.png,-105.27761653010475,66.6988770563387,4.500000,0.031227,-4.52,81.91
D://360 google/dashcam_illumination/train/51NVRw3tqk9jtRvX3gKw_Q_B.png,74.72238346989525,75.04887705633875,4.500000,0.031227,3.83,70.27
D://360 google/dashcam_illumination/train/52PNgoeqlrTtIzWP2oyupg_F.png,122.74301762052676,53.87584446309311,3.500000,0.040192,4.37,71.36
D://360 google/dashcam_illumination/train/52PNgoeqlrTtIzWP2oyupg_B.png,-57.256982379473264,56.80584446309311,3.500000,0.040192,7.3,85.26
D://360 google/dashcam_illumination/train/53f79w4NPMIc6YaZ4JvBuQ_F.png,23.37043031067324,53.55922091886135,3.500000,0.030901,7.54,84.34
D://360 google/dashcam_illumination/train/53f79w4NPMIc6YaZ4JvBuQ_B.png,-156.6295696893268,41.66922091886134,3.500000,0.030901,-4.35,88.15
D://360 google/dashcam_illumination/train/549yRhyOe5yBujS8EEvq_g_F.png,-90.30483233976234,74.71196715584352,4.500000,0.034268,1.53,60.12
D://360 google/dashcam_illumination/train/549yRhyOe5yBujS8EEvq_g_B.png,89.69516766023766,65.0019671558435,4.500000,0.034268,-8.18,80.32
D://360 google/dashcam_illumination/train/54m6dnGiHFzH-IkzqOKlSQ_F.png,-80.69879185701812,53.70674474516244,4.500000,0.025567,7.14,91.41
D://360 google/dashcam_illumination/train/54m6dnGiHFzH-IkzqOKlSQ_B.png,99.30120814298189,36.86674474516246,4.500000,0.025567,-9.7,68.64
D://360 google/dashcam_illumination/train/55c36kQ9K1dpfQPOApDJdw_F.png,-161.6193792904687,48.3481671446022,3.000000,0.057879,-2.96,83.78
D://360 google/dashcam_illumination/train/55c36kQ9K1dpfQPOApDJdw_B.png,18.380620709531325,51.348167144602186,3.000000,0.057879,0.04,97.72
D://360 google/dashcam_illumination/train/56UTySylcssxlBvQbEag1w_F.png,21.752926674708945,55.57307076098166,4.500000,0.037227,-5.03,69.93
D://360 google/dashcam_illumination/train/56UTySylcssxlBvQbEag1w_B.png,-158.24707332529107,63.07307076098168,4.500000,0.037227,2.47,71.17
D://360 google/dashcam_illumination/train/57czXxoHletwu6T9mTMuZA_F.png,-130.3151852444244,59.662686568771285,5.500000,0.025686,-3.02,79.02
D://360 google/dashcam_illumination/train/57czXxoHletwu6T9mTMuZA_B.png,49.68481475557559,65.9126865687713,5.500000,0.025686,3.23,84.18
D://360 google/dashcam_illumination/train/57ez8eQFvQ4MJ8DXH0YRTw_F.png,-51.87122625790834,53.12173079029839,2.500000,0.053036,9.96,89.02
D://360 google/dashcam_illumination/train/57ez8eQFvQ4MJ8DXH0YRTw_B.png,128.12877374209165,45.491730790298384,2.500000,0.053036,2.33,93.37
D://360 google/dashcam_illumination/train/57sRRIgXiqmektnkkD13xg_F.png,140.43753527093702,43.95106099806861,4.000000,0.033237,-6.11,64.0
D://360 google/dashcam_illumination/train/57sRRIgXiqmektnkkD13xg_B.png,-39.562464729063,54.07106099806861,4.000000,0.033237,4.01,87.33
D://360 google/dashcam_illumination/train/58-YUmEhHOJnUHesSK3ozQ_F.png,-153.40694955179367,60.94858085702254,4.000000,0.036817,4.68,78.49
D://360 google/dashcam_illumination/train/58-YUmEhHOJnUHesSK3ozQ_B.png,26.593050448206334,46.858580857022545,4.000000,0.036817,-9.41,97.88
D://360 google/dashcam_illumination/train/59LS8kizlspV8nRwDz8p6Q_F.png,-10.410521409634796,78.42961376770242,4.500000,0.038998,8.44,83.47
D://360 google/dashcam_illumination/train/59LS8kizlspV8nRwDz8p6Q_B.png,169.5894785903652,65.39961376770239,4.500000,0.038998,-4.59,77.34
D://360 google/dashcam_illumination/train/5ackwqKCq2EPgix9ntz0AA_F.png,-148.5724380952988,42.03737432236218,3.500000,0.046115,-5.61,69.3
D://360 google/dashcam_illumination/train/5ackwqKCq2EPgix9ntz0AA_B.png,31.427561904701232,46.0473743223622,3.500000,0.046115,-1.6,98.28
D://360 google/dashcam_illumination/train/5aOm-_Na6zjdTVEDHToOiA_F.png,-6.83636653736092,56.69433800213427,3.500000,0.041318,7.14,66.64
D://360 google/dashcam_illumination/train/5aOm-_Na6zjdTVEDHToOiA_B.png,173.1636334626391,50.264338002134245,3.500000,0.041318,0.71,74.1
D://360 google/dashcam_illumination/train/5AtDrSCTV_AXs292b_ZAnA_F.png,-13.655594863526323,54.211535871591096,3.500000,0.046201,6.59,61.7
D://360 google/dashcam_illumination/train/5AtDrSCTV_AXs292b_ZAnA_B.png,166.34440513647368,53.441535871591086,3.500000,0.046201,5.82,93.29
D://360 google/dashcam_illumination/train/5B2ESB4WpbUh86aJoZPRyA_F.png,-45.12761675817212,85.44854233293539,4.500000,0.023028,4.15,76.7
D://360 google/dashcam_illumination/train/5B2ESB4WpbUh86aJoZPRyA_B.png,134.87238324182786,72.22854233293526,4.500000,0.023028,-9.07,95.73
D://360 google/dashcam_illumination/train/5Be3-zsKcTxoI7IpKvdijw_F.png,75.47291503690874,62.19865094355229,4.500000,0.027733,0.88,87.64
D://360 google/dashcam_illumination/train/5Be3-zsKcTxoI7IpKvdijw_B.png,-104.52708496309127,66.28865094355231,4.500000,0.027733,4.97,71.81
D://360 google/dashcam_illumination/train/5bQzYiDt30LCL1wj8qQmFA_F.png,158.74654395605484,28.231427641706727,3.000000,0.032686,-7.92,84.06
D://360 google/dashcam_illumination/train/5bQzYiDt30LCL1wj8qQmFA_B.png,-21.253456043945185,40.51142764170673,3.000000,0.032686,4.36,98.24
D://360 google/dashcam_illumination/train/5c6CC88AIDbBB8yqYXHMLg_F.png,-20.223455633851916,55.03899219471313,4.000000,0.029048,7.26,75.6
D://360 google/dashcam_illumination/train/5c6CC88AIDbBB8yqYXHMLg_B.png,159.77654436614807,49.038992194713124,4.000000,0.029048,1.26,80.39
D://360 google/dashcam_illumination/train/5cC-o9VUsclUvc_P_RMfqg_F.png,8.510584561084489,69.33138485214651,3.500000,0.042845,0.7,68.76
D://360 google/dashcam_illumination/train/5cC-o9VUsclUvc_P_RMfqg_B.png,-171.48941543891553,59.03138485214652,3.500000,0.042845,-9.6,85.38
D://360 google/dashcam_illumination/train/5DHxLL9zJEbTTXx1lXBtBA_F.png,-37.888184522409055,55.844472235208485,4.000000,0.036686,-1.9,73.76
D://360 google/dashcam_illumination/train/5DHxLL9zJEbTTXx1lXBtBA_B.png,142.11181547759094,53.544472235208495,4.000000,0.036686,-4.2,93.98
D://360 google/dashcam_illumination/train/5dKcFENHqJFM5m6kEtpNmg_F.png,-153.78998419857078,45.447515675271426,3.500000,0.034121,3.71,98.56
D://360 google/dashcam_illumination/train/5dKcFENHqJFM5m6kEtpNmg_B.png,26.21001580142924,44.847515675271424,3.500000,0.034121,3.11,88.0
D://360 google/dashcam_illumination/train/5eHcEm_3vGRkO8r-RS3G6Q_F.png,46.90439430733974,69.98334023577523,4.000000,0.040253,-5.35,73.04
D://360 google/dashcam_illumination/train/5eHcEm_3vGRkO8r-RS3G6Q_B.png,-133.09560569266029,69.93334023577522,4.000000,0.040253,-5.4,81.74
D://360 google/dashcam_illumination/train/5fiEgIQ4iq6o3fGIIw_7OQ_F.png,168.0533454113476,57.64026855207071,4.000000,0.027121,-5.69,68.77
D://360 google/dashcam_illumination/train/5fiEgIQ4iq6o3fGIIw_7OQ_B.png,-11.946654588652416,71.53026855207071,4.000000,0.027121,8.2,97.35
D://360 google/dashcam_illumination/train/5FuDNnANMC9CgA7B0GRJJQ_F.png,-35.05029741782086,52.66532413258332,4.000000,0.028565,7.34,62.41
D://360 google/dashcam_illumination/train/5FuDNnANMC9CgA7B0GRJJQ_B.png,144.94970258217916,45.2353241325833,4.000000,0.028565,-0.09,62.58
D://360 google/dashcam_illumination/train/5gGBDoc7uGC4GSlLcwMO7Q_F.png,171.53575244161544,41.70726156926696,3.500000,0.034157,-3.99,62.52
D://360 google/dashcam_illumination/train/5gGBDoc7uGC4GSlLcwMO7Q_B.png,-8.464247558384562,41.29726156926695,3.500000,0.034157,-4.4,77.96
D://360 google/dashcam_illumination/train/5gTlzbwaFBkO3qRH12SUaQ_F.png,-126.07655513679612,53.60362476985543,3.000000,0.065626,-5.55,92.3
D://360 google/dashcam_illumination/train/5gTlzbwaFBkO3qRH12SUaQ_B.png,53.923444863203855,65.7736247698554,3.000000,0.065626,6.62,77.4
D://360 google/dashcam_illumination/train/5hROsOzmsoEysAmoRarMSQ_F.png,16.65794092309213,69.36102646981674,3.500000,0.052834,9.13,84.78
D://360 google/dashcam_illumination/train/5hROsOzmsoEysAmoRarMSQ_B.png,-163.3420590769079,58.04102646981672,3.500000,0.052834,-2.19,86.1
D://360 google/dashcam_illumination/train/5iKXk_LYFGa1WVFP5dFQIg_F.png,-3.2388617738383583,51.27088178200084,3.000000,0.044111,3.68,70.65
D://360 google/dashcam_illumination/train/5iKXk_LYFGa1WVFP5dFQIg_B.png,176.76113822616165,40.76088178200085,3.000000,0.044111,-6.83,71.3
D://360 google/dashcam_illumination/train/5J6DHPpraVqyl_GRcexZ9w_F.png,-92.73441912252,49.47503865486046,4.500000,0.037125,-6.78,63.07
D://360 google/dashcam_illumination/train/5J6DHPpraVqyl_GRcexZ9w_B.png,87.26558087748002,49.265038654860454,4.500000,0.037125,-6.99,97.53
D://360 google/dashcam_illumination/train/5JaAoJ7XVJccLdml_5i2Tg_F.png,-95.89371649729247,62.97145213301757,4.000000,0.040286,-0.61,61.91
D://360 google/dashcam_illumination/train/5JaAoJ7XVJccLdml_5i2Tg_B.png,84.10628350270753,66.73145213301756,4.000000,0.040286,3.15,91.55
D://360 google/dashcam_illumination/train/5jFsTanjprwt3RvD8OAtGw_F.png,-26.170395112615132,62.159604780858295,5.000000,0.025916,3.12,90.49
D://360 google/dashcam_illumination/train/5jFsTanjprwt3RvD8OAtGw_B.png,153.82960488738487,57.81960478085831,5.000000,0.025916,-1.22,84.09
D://360 google/dashcam_illumination/train/5JstAfjEaZtPDh6lxf4skQ_F.png,-138.22511268881527,63.24193010005338,4.000000,0.038711,-9.95,60.69
D://360 google/dashcam_illumination/train/5JstAfjEaZtPDh6lxf4skQ_B.png,41.77488731118471,64.84193010005335,4.000000,0.038711,-8.35,67.1
D://360 google/dashcam_illumination/train/5JUDr3gyrhK52--D8XVeHA_F.png,-171.2076096907295,43.99533528382208,3.000000,0.038912,0.25,72.19
D://360 google/dashcam_illumination/train/5JUDr3gyrhK52--D8XVeHA_B.png,8.792390309270495,53.36533528382207,3.000000,0.038912,9.62,94.66
D://360 google/dashcam_illumination/train/5jVKQ2bTieGQXGvjVgcvlw_F.png,-73.03096961419514,43.07783696501394,4.500000,0.030907,-6.42,96.79
D://360 google/dashcam_illumination/train/5jVKQ2bTieGQXGvjVgcvlw_B.png,106.96903038580487,49.047836965013936,4.500000,0.030907,-0.45,70.06
D://360 google/dashcam_illumination/train/5KH01KmslQQyKnVZizmaKg_F.png,-100.48457614604408,61.960425110457244,4.500000,0.031499,0.4,92.72
D://360 google/dashcam_illumination/train/5KH01KmslQQyKnVZizmaKg_B.png,79.51542385395592,65.63042511045722,4.500000,0.031499,4.07,99.59
D://360 google/dashcam_illumination/train/5KsLgMZ49wqth9EXvNb-RQ_F.png,-173.9347170758906,67.47066439733052,4.000000,0.035726,-7.96,82.28
D://360 google/dashcam_illumination/train/5KsLgMZ49wqth9EXvNb-RQ_B.png,6.065282924109399,81.00066439733044,4.000000,0.035726,5.57,99.67
D://360 google/dashcam_illumination/train/5kTKGKRfrb0R_l74vDv-ww_F.png,-78.28005092598526,41.68010853950649,4.000000,0.035545,-4.3,70.58
D://360 google/dashcam_illumination/train/5kTKGKRfrb0R_l74vDv-ww_B.png,101.71994907401474,47.6501085395065,4.000000,0.035545,1.67,96.75
D://360 google/dashcam_illumination/train/5KWS4CWoiBav4bzQJNqXWQ_F.png,179.83109717288986,50.37780892173294,2.500000,0.057541,3.96,68.15
D://360 google/dashcam_illumination/train/5KWS4CWoiBav4bzQJNqXWQ_B.png,-0.16890282711017832,52.397808921732924,2.500000,0.057541,5.98,71.41
D://360 google/dashcam_illumination/train/5l4izDCAKHKcNQPlLQGQSA_F.png,167.31896848265356,45.16366174633009,3.500000,0.041581,-7.22,75.25
D://360 google/dashcam_illumination/train/5l4izDCAKHKcNQPlLQGQSA_B.png,-12.681031517346447,53.16366174633009,3.500000,0.041581,0.78,84.28
D://360 google/dashcam_illumination/train/5L4JX244FTn5VZUScdecaQ_F.png,8.178696986484145,56.79326423805302,4.000000,0.027705,9.02,85.67
D://360 google/dashcam_illumination/train/5L4JX244FTn5VZUScdecaQ_B.png,-171.8213030135159,47.13326423805302,4.000000,0.027705,-0.64,69.28
D://360 google/dashcam_illumination/train/5LB912Rmm-QiJlV34Pb9ew_F.png,-162.05397475937446,38.07910275350931,3.500000,0.029431,-1.61,93.52
D://360 google/dashcam_illumination/train/5LB912Rmm-QiJlV34Pb9ew_B.png,17.946025240625538,41.47910275350932,3.500000,0.029431,1.79,88.88
D://360 google/dashcam_illumination/train/5lxdlTQoGDZEp4glREU4Lw_F.png,53.137622312817186,60.39161416779538,3.500000,0.040317,1.32,71.42
D://360 google/dashcam_illumination/train/5lxdlTQoGDZEp4glREU4Lw_B.png,-126.86237768718281,68.06161416779543,3.500000,0.040317,8.99,96.67
D://360 google/dashcam_illumination/train/5mIFJVTvOE3IVIEBFD66Fg_F.png,105.35329458260824,43.164961988419456,4.000000,0.029031,-0.71,99.47
D://360 google/dashcam_illumination/train/5mIFJVTvOE3IVIEBFD66Fg_B.png,-74.64670541739177,35.40496198841946,4.000000,0.029031,-8.47,86.99
D://360 google/dashcam_illumination/train/5MkBFrao9WEHorccuuk3mA_F.png,-139.914032514019,58.33202727094828,4.500000,0.029831,-4.94,88.04
D://360 google/dashcam_illumination/train/5MkBFrao9WEHorccuuk3mA_B.png,40.08596748598101,64.6820272709483,4.500000,0.029831,1.41,63.23
D://360 google/dashcam_illumination/train/5nQZ4XW8o0rlQXmxaPfjAA_F.png,-152.47501649984073,67.4448921518168,4.500000,0.030868,6.84,89.81
D://360 google/dashcam_illumination/train/5nQZ4XW8o0rlQXmxaPfjAA_B.png,27.524983500159216,52.864892151816775,4.500000,0.030868,-7.74,74.45
D://360 google/dashcam_illumination/train/5oqcwr5NvbwCNYdA9uUv0g_F.png,-40.19864872912075,45.14736193922566,4.500000,0.027244,-8.42,67.84
D://360 google/dashcam_illumination/train/5oqcwr5NvbwCNYdA9uUv0g_B.png,139.80135127087928,56.67736193922566,4.500000,0.027244,3.11,61.54
D://360 google/dashcam_illumination/train/5Otnm2yH9hgf-cdBMwhx9g_F.png,162.45801920677403,57.967843101736655,3.500000,0.039853,1.35,79.74
D://360 google/dashcam_illumination/train/5Otnm2yH9hgf-cdBMwhx9g_B.png,-17.541980793225996,52.037843101736634,3.500000,0.039853,-4.58,65.01
D://360 google/dashcam_illumination/train/5otYQ0PYMe6J-Dq_bmibZg_F.png,177.35428948698348,42.966853538633195,2.500000,0.035249,7.98,85.98
D://360 google/dashcam_illumination/train/5otYQ0PYMe6J-Dq_bmibZg_B.png,-2.6457105130165335,43.676853538633196,2.500000,0.035249,8.69,88.9
D://360 google/dashcam_illumination/train/5owIF59_Na70Z6SSRuInng_F.png,130.21637125177463,64.00687691884396,4.500000,0.040079,0.15,96.72
D://360 google/dashcam_illumination/train/5owIF59_Na70Z6SSRuInng_B.png,-49.783628748225375,61.836876918843956,4.500000,0.040079,-2.02,66.29
D://360 google/dashcam_illumination/train/5oXkqraY3MJyTaZzO85GBQ_F.png,-169.87866816661779,57.34517323380654,5.500000,0.021919,-2.94,98.13
D://360 google/dashcam_illumination/train/5oXkqraY3MJyTaZzO85GBQ_B.png,10.121331833382223,68.33517323380651,5.500000,0.021919,8.05,65.26
D://360 google/dashcam_illumination/train/5oYt_DwTxUK9UIVapvplDQ_F.png,150.81626140408815,49.821267325638274,4.000000,0.032374,-6.46,99.93
D://360 google/dashcam_illumination/train/5oYt_DwTxUK9UIVapvplDQ_B.png,-29.18373859591186,61.401267325638266,4.000000,0.032374,5.12,89.75
D://360 google/dashcam_illumination/train/5pcMG3Uml_55LXUaiMbMng_F.png,-145.28538357927624,45.70903288928161,4.500000,0.023950,0.01,69.63
D://360 google/dashcam_illumination/train/5pcMG3Uml_55LXUaiMbMng_B.png,34.71461642072376,38.0390328892816,4.500000,0.023950,-7.66,85.37
D://360 google/dashcam_illumination/train/5PGr7EFqT7LM2H3bsq9Y9Q_F.png,-113.3649110763271,45.966801081643084,3.000000,0.044500,4.34,61.59
D://360 google/dashcam_illumination/train/5PGr7EFqT7LM2H3bsq9Y9Q_B.png,66.63508892367288,51.36680108164309,3.000000,0.044500,9.74,66.43
D://360 google/dashcam_illumination/train/5PjlmPihlH53WUaSoMpH4w_F.png,-24.853559407896153,33.86002087803522,2.500000,0.050250,-4.47,88.07
D://360 google/dashcam_illumination/train/5PjlmPihlH53WUaSoMpH4w_B.png,155.14644059210386,30.76002087803522,2.500000,0.050250,-7.57,71.1
D://360 google/dashcam_illumination/train/5pn-sFMTmEn_ekb5xsObJg_F.png,149.96991018179648,56.285798874358214,3.500000,0.037861,-3.98,90.19
D://360 google/dashcam_illumination/train/5pn-sFMTmEn_ekb5xsObJg_B.png,-30.030089818203546,50.575798874358235,3.500000,0.037861,-9.69,96.3
D://360 google/dashcam_illumination/train/5PVMwl-KPnQ58AXiXKu6EA_F.png,151.53921101005642,67.81007818813067,5.500000,0.021986,4.52,77.75
D://360 google/dashcam_illumination/train/5PVMwl-KPnQ58AXiXKu6EA_B.png,-28.460788989943584,61.01007818813068,5.500000,0.021986,-2.28,81.69
D://360 google/dashcam_illumination/train/5P_yzop0P-nYJUZZh3v28Q_F.png,-110.32497868642741,43.99809126247505,3.000000,0.045552,-1.56,95.02
D://360 google/dashcam_illumination/train/5P_yzop0P-nYJUZZh3v28Q_B.png,69.67502131357259,37.55809126247505,3.000000,0.045552,-8.0,94.44
D://360 google/dashcam_illumination/train/5RGQnwscMw7YQBd8Puib-g_F.png,57.4849662385611,73.42283171492626,3.500000,0.042351,-6.58,60.89
D://360 google/dashcam_illumination/train/5RGQnwscMw7YQBd8Puib-g_B.png,-122.51503376143893,74.78283171492633,3.500000,0.042351,-5.22,88.96
D://360 google/dashcam_illumination/train/5RYZTZyYBEjMNcw2sbgcWQ_F.png,62.23219700202927,61.27615456192703,4.000000,0.039091,-2.05,83.8
D://360 google/dashcam_illumination/train/5RYZTZyYBEjMNcw2sbgcWQ_B.png,-117.76780299797075,55.75615456192705,4.000000,0.039091,-7.57,77.57
D://360 google/dashcam_illumination/train/5rzyS5FllOkQUqEkPdMMDg_F.png,-53.82352240103867,56.34515311796799,4.500000,0.033851,-7.23,97.2
D://360 google/dashcam_illumination/train/5rzyS5FllOkQUqEkPdMMDg_B.png,126.17647759896133,62.81515311796798,4.500000,0.033851,-0.76,77.19
D://360 google/dashcam_illumination/train/5r_UZb7j3K0QS5C6bGA-Gw_F.png,164.68827302884307,51.87228742466284,4.000000,0.036786,0.55,77.2
D://360 google/dashcam_illumination/train/5r_UZb7j3K0QS5C6bGA-Gw_B.png,-15.311726971156936,49.02228742466283,4.000000,0.036786,-2.3,99.02
D://360 google/dashcam_illumination/train/5SDEHHG066qF2DLh4lOjdA_F.png,-131.31452993707043,82.63857595154283,4.000000,0.025992,9.51,62.48
D://360 google/dashcam_illumination/train/5SDEHHG066qF2DLh4lOjdA_B.png,48.685470062929554,80.13857595154282,4.000000,0.025992,7.01,71.76
D://360 google/dashcam_illumination/train/5TisHNfUT64NlaPh6FSuug_F.png,154.75482489734102,38.54137327077439,3.500000,0.032104,-4.63,90.25
D://360 google/dashcam_illumination/train/5TisHNfUT64NlaPh6FSuug_B.png,-25.245175102659,44.3513732707744,3.500000,0.032104,1.18,62.72
D://360 google/dashcam_illumination/train/5tkz6DI4WIkqxst0uZ8zrg_F.png,-133.8123725441171,54.777199695116025,3.500000,0.040400,-0.42,68.11
D://360 google/dashcam_illumination/train/5tkz6DI4WIkqxst0uZ8zrg_B.png,46.187627455882904,55.46719969511605,3.500000,0.040400,0.27,97.12
D://360 google/dashcam_illumination/train/5tnrJEXrHoM2R4pDoVWgPg_F.png,-81.41744501281954,48.93224496247058,4.500000,0.031635,-7.58,74.83
D://360 google/dashcam_illumination/train/5tnrJEXrHoM2R4pDoVWgPg_B.png,98.58255498718046,58.84224496247057,4.500000,0.031635,2.33,94.62
D://360 google/dashcam_illumination/train/5TP5TlpECarCjidOBLYmcw_F.png,-158.8736156508586,58.228437289356364,3.500000,0.040139,8.18,83.17
D://360 google/dashcam_illumination/train/5TP5TlpECarCjidOBLYmcw_B.png,21.126384349141407,52.248437289356346,3.500000,0.040139,2.2,74.58
D://360 google/dashcam_illumination/train/5tWSY99I7QyWnl19dXjGlA_F.png,-32.42805946958976,52.84182301936766,3.500000,0.031703,8.89,70.68
D://360 google/dashcam_illumination/train/5tWSY99I7QyWnl19dXjGlA_B.png,147.57194053041025,44.19182301936766,3.500000,0.031703,0.24,93.6
D://360 google/dashcam_illumination/train/5U6Vgp2-a5rjUrGhOE8YmA_F.png,-27.35799294508276,55.24689272329425,3.500000,0.046596,-5.32,61.08
D://360 google/dashcam_illumination/train/5U6Vgp2-a5rjUrGhOE8YmA_B.png,152.64200705491723,52.226892723294256,3.500000,0.046596,-8.34,67.26
D://360 google/dashcam_illumination/train/5URe2-0-tly3TEYRSOl6pQ_F.png,-137.26495337772525,60.198651889286275,4.500000,0.032360,5.0,84.76
D://360 google/dashcam_illumination/train/5URe2-0-tly3TEYRSOl6pQ_B.png,42.735046622274744,62.628651889286246,4.500000,0.032360,7.43,98.71
D://360 google/dashcam_illumination/train/5vDbA7Dzho2v6IkrMeSKKw_F.png,-49.38197921359861,55.530793857735794,5.500000,0.022136,-1.2,66.82
D://360 google/dashcam_illumination/train/5vDbA7Dzho2v6IkrMeSKKw_B.png,130.6180207864014,46.89079385773584,5.500000,0.022136,-9.84,94.3
D://360 google/dashcam_illumination/train/5vF2KZrFI32qNOHpqQVHww_F.png,-63.91957953846535,56.055947772098136,4.000000,0.041003,-0.58,79.51
D://360 google/dashcam_illumination/train/5vF2KZrFI32qNOHpqQVHww_B.png,116.08042046153466,50.63594777209812,4.000000,0.041003,-6.0,82.74
D://360 google/dashcam_illumination/train/5vm3Rip1_QqjchVrbq_wCw_F.png,-129.0391019170179,89.216470003594,4.000000,0.032229,8.55,98.84
D://360 google/dashcam_illumination/train/5vm3Rip1_QqjchVrbq_wCw_B.png,50.96089808298212,81.35647000359477,4.000000,0.032229,0.69,87.82
D://360 google/dashcam_illumination/train/5VW25b3NOo6z9A7Ke_0BNg_F.png,12.377602891466816,78.36762219517199,3.500000,0.047706,6.23,69.24
D://360 google/dashcam_illumination/train/5VW25b3NOo6z9A7Ke_0BNg_B.png,-167.6223971085332,79.02762219517193,3.500000,0.047706,6.89,76.59
